,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.003660176530583362,2.155440256036272e-06,1.141427621701376,0.00067743090497029,0.0005934944030533736
1T,2,0.00347163257588243,1.9349364133251397e-06,1.0826301085207324,0.0006086756119902501,0.000562219364859456
1T,3,0.003356143558873291,1.8382847227400765e-06,1.0466148090082903,0.0005784481873974586,0.0005526848869504929
1T,4,0.0033035387069967666,1.931895918670913e-06,1.030209963377032,0.0006072393311822587,0.0005894325941012315
1T,5,0.0033345586884571273,1.726376895367744e-06,1.0398835579066044,0.0005438117520894469,0.0005229544673099721
1B,1,0.003491502505129328,1.9668221770566418e-06,1.0888265544828748,0.0006185937847811186,0.0005681288560003135
1B,2,0.0033081428927508316,1.897925481743184e-06,1.0316457806801653,0.0005967439485252571,0.0005784388010890938
1B,3,0.003208789173549367,1.7934207949608004e-06,1.0006622807129548,0.0005641318926164669,0.000563758526217789
1B,4,0.003187325450587607,1.9096992525118073e-06,0.993968809496911,0.0006000396463880267,0.0006036805588414104
1B,5,0.0032674809412373317,1.889126301177132e-06,1.0189653336520015,0.0005939032646147879,0.0005828493325540539
2T,1,0.003409234875625375,1.9421943772440396e-06,1.0631713589197413,0.0006107334182719796,0.0005744449501466337
2T,2,0.0032396632194040278,1.7804930633632415e-06,1.0102903651612665,0.0005602293927689714,0.0005545231470949893
2T,3,0.0031545372053323546,1.7154905550461608e-06,0.9837437811441121,0.0005398784784048841,0.0005487998895169589
2T,4,0.003148865719785236,1.724680886362255e-06,0.98197512594252,0.0005427011618304067,0.0005526628399161444
2T,5,0.0032456842866583967,1.8143923662839646e-06,1.0121680375682753,0.000570726744609681,0.0005638656067236098
2B,1,0.0032965975660416615,1.8189204301455362e-06,1.0280453655916304,0.0005722808212058459,0.0005566688400725426
2B,2,0.0031442293924695518,1.7323531490791712e-06,0.9805292852796034,0.0005450582620323571,0.0005558816755553923
2B,3,0.003081564997825807,1.8154684357950264e-06,0.9609873669196805,0.0005705778190790777,0.00059374122774162
2B,4,0.0031010908823229555,1.7130070134392665e-06,0.9670765223789785,0.0005389468172009208,0.0005572949034840885
2B,5,0.003223617312504183,1.939251190668269e-06,1.0052864422090004,0.0006092884759237936,0.0006060844455287319
3T,1,0.003246996485633303,1.7802207527299501e-06,1.012577247381685,0.0005601677097097381,0.0005532098525403526
3T,2,0.003102098079000878,1.8272022982319703e-06,0.9673906170951924,0.0005742673794786223,0.0005936251285990235
3T,3,0.00305554148104836,1.9330950836287206e-06,0.9528719220455358,0.0006069228323664683,0.0006369406195363416
