,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.0037651952014669103,2.1080634005391487e-06,1.1517590997939753,0.0006505373806367202,0.0005648206997045539
1T,2,0.003559697187924472,1.9945498707426298e-06,1.0888980276788094,0.0006154994193460973,0.000565249824777578
1T,3,0.003434172495393401,1.913120715233416e-06,1.0505004947128753,0.0005904308458398941,0.0005620471849480392
1T,4,0.0033792278017846923,2.0975436961966043e-06,1.0336931188762741,0.0006462396739785836,0.0006251755595327069
1T,5,0.0034113684735208893,1.9356889080866154e-06,1.0435248298938684,0.0005972061722124772,0.0005722970408602697
1B,1,0.003581413182925193,1.974898196440617e-06,1.0955408691557709,0.0006096071669627241,0.000556444021511028
1B,2,0.003379454316951386,1.9012380679611599e-06,1.0337624090167639,0.0005866631424174305,0.0005675028781278861
1B,3,0.0032739829572020073,1.9968658598881283e-06,1.0014991153868176,0.0006153776300731779,0.0006144564888961438
1B,4,0.003247494845105461,1.8594321769494845e-06,0.9933965011766236,0.0005735920008884624,0.0005774048934227916
1B,5,0.003332038581318744,1.86699628810344e-06,1.0192581132057406,0.0005761375411109744,0.0005652518568617752
2T,1,0.0034884257573762427,2.065295120108617e-06,1.06709636420668,0.000636752566435715,0.0005967151494411671
2T,2,0.0033045283228420974,1.8458798648206756e-06,1.0108428282489825,0.0005696518496662674,0.0005635414663356106
2T,3,0.00321374207201433,1.8810039964080337e-06,0.9830716543968749,0.0005800384501076181,0.0005900266247260257
2T,4,0.0032107820655941305,1.849977861322471e-06,0.9821661995273411,0.0005706162951497835,0.000580977328912752
2T,5,0.003312047677070381,1.8688175814277401e-06,1.0131429705241097,0.0005766299457809724,0.0005691496289834351
2B,1,0.0033718208153188205,1.9040228593255602e-06,1.031427349478503,0.0005874848329755384,0.0005695843078744954
2B,2,0.0032007732419447503,1.7994197360765715e-06,0.9791045378870852,0.0005552520537847743,0.0005671019102648756
2B,3,0.0031325245849849353,1.7636957112108654e-06,0.9582275295259889,0.0005442145069950853,0.0005679387099891553
2B,4,0.0031557380544090584,1.881367320475019e-06,0.9653284428163826,0.0005799831640140499,0.0006008143325000627
2B,5,0.0032891767117732497,1.7644574709670654e-06,1.0061468279624226,0.000544925518307539,0.0005415964182991895
3T,1,0.003310951010795199,1.898444658558967e-06,1.0128075044209484,0.0005856126922945534,0.0005782072997468214
3T,2,0.0031556440825520073,1.9055245321875025e-06,0.9652996971775267,0.0005873161381328006,0.0006084288018012174
3T,3,0.0031050501280605034,1.7996774535359952e-06,0.9498231961298654,0.0005550476361026474,0.0005843694261881956
