,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.004308741858798265,5.478583868780763e-07,1.3329619315072514,0.00017097225427891797,0.00012826491907806436
1T,2,0.003465446251124299,4.4701483932082533e-07,1.0720781332028007,0.00013946740631500803,0.0001300907107379883
1T,3,0.0016811961453781382,2.2917123533959858e-07,0.5200985658051953,7.14379027208831e-05,0.00013735454665268277
1T,4,0.0034719089353205846,4.4074974895946324e-07,1.0740774435099179,0.00013755026310064152,0.00012806363631578434
1T,5,0.004329248901636339,5.320578600762909e-07,1.339306035732276,0.0001661424087133945,0.00012405111623539788
1B,1,0.004139781682730548,4.931345514622334e-07,1.2806920369487866,0.00015407980217328093,0.00012030979948963514
1B,2,0.0033302417657332536,4.1122454010353803e-07,1.0302509739295467,0.00012839933956136626,0.00012462918532523204
1B,3,0.0016160570143338875,2.0997334440095737e-07,0.49994697984834596,6.550318686897601e-05,0.0001310202671668219
1B,4,0.003337539872334029,4.348171382873402e-07,1.0325087323633806,0.00013563929476864716,0.00013136866596582966
1B,5,0.004163431754183986,5.320087974492701e-07,1.2880084754725953,0.00016601186397789588,0.00012889035059880557
2T,1,0.004083271611700021,4.803825598744772e-07,1.2632099561235797,0.00015013266579542327,0.00011885012864855524
2T,2,0.003280379169593454,4.1301786337105814e-07,1.014825370670267,0.00012891421624030978,0.00012703093553442118
2T,3,0.001590639311909378,2.0651617904952944e-07,0.49208370308947774,6.442549151665203e-05,0.00013092384712634397
2T,4,0.003282873841626752,4.030676454748766e-07,1.01559712793978,0.00012586570175352656,0.00012393270745935961
2T,5,0.004089462056154968,4.897769558235976e-07,1.2651250457409133,0.00015301456412915177,0.00012094817397243105
2B,1,0.003991074767819812,4.622431794667059e-07,1.2346877361519912,0.00014450989964433542,0.00011704165791320869
2B,2,0.0032088156436872574,4.061101865143017e-07,0.9926863196796378,0.00012674659335348823,0.0001276804070337065
2B,3,0.0015565304104141662,1.9890780486794378e-07,0.48153169772257265,6.206856094170907e-05,0.00012889818310043828
2B,4,0.0032137221223106456,4.045158593964216e-07,0.9942041987814865,0.00012626111040235505,0.00012699716070109423
2B,5,0.004006984469544699,5.159464255821026e-07,1.2396095967405074,0.00016097871799503486,0.00012986243283233728
3T,1,0.003966840264351783,4.849103494286019e-07,1.2271904964447897,0.00015143505237101877,0.00012339979229771659
3T,2,0.003186063047957304,3.9554565670014656e-07,0.9856475262348476,0.00012349169350454192,0.00012528991370401704
3T,3,0.0015441172546748789,2.1428780122355612e-07,0.4776915363500472,6.678066917607891e-05,0.00013979872803763214
