,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.0028291817556034076,1.7341540229681152e-06,1.2040048846790348,0.0007447999934464257,0.0006186021360245357
1T,2,0.002584385125975688,1.659007160543967e-06,1.0998276478362652,0.0007119533014877871,0.0006473317004609233
1T,3,0.0022968396592712562,1.4523223207764198e-06,0.9774579394236609,0.0006234143510912171,0.0006377914853899506
1T,4,0.001980991118267897,1.3149037650469484e-06,0.8430433916719615,0.0005639802223784922,0.0006689812504905368
1T,5,0.00177546670103632,1.2186242166151342e-06,0.7555790915160834,0.000522421285426214,0.0006914183985398089
1B,1,0.0027103789284223727,1.75054507917738e-06,1.1534463852272603,0.0007511605500503932,0.0006512314396844672
1B,2,0.0024608636144251043,1.405304806044021e-06,1.0472610345477096,0.0006043968654157692,0.0005771215059832678
1B,3,0.002214259372717513,1.466219771981765e-06,0.9423145386181176,0.0006289052174514898,0.0006674047695090905
1B,4,0.0019997673317706647,1.4014137524678342e-06,0.8510339185189323,0.0006006046229185897,0.0007057352355166189
1B,5,0.00185801695668538,1.2988547352959963e-06,0.7907097121756151,0.0005566701652942484,0.0007040133145229573
2T,1,0.0026286707022119354,1.6215313039145408e-06,1.1186741040611659,0.0006963497437478115,0.0006224777539945066
2T,2,0.002391851511801711,1.5722122033073066e-06,1.0178917978431508,0.0006744465507697292,0.000662591595883609
2T,3,0.002172417660975781,1.4429070787859767e-06,0.9245081091723597,0.0006188763166267372,0.0006694114529517422
2T,4,0.002000744564262091,1.4050055645633957e-06,0.8514497958979003,0.0006021265812216593,0.0007071780205040556
2T,5,0.0018951679631075786,1.3962399846840162e-06,0.8065199347300616,0.0005979892299811766,0.0007414438307483631
2B,1,0.0025643373274486974,1.5648255138906364e-06,1.0912959770428452,0.0006721299866179405,0.0006159007279026669
2B,2,0.0023464294439418665,1.5161767443260612e-06,0.9985616888930413,0.0006505879860855233,0.0006515250818472063
2B,3,0.0021677556554369056,1.537357110377184e-06,0.9225241159453111,0.0006587574975117261,0.0007140816008226482
2B,4,0.0020509238495188486,1.3363713663376999e-06,0.8728044170491147,0.0005733558801777203,0.0006569122119205043
2B,5,0.001995312483325591,1.2955715561042531e-06,0.8491380844044394,0.0005558827816653882,0.0006546435637205792
3T,1,0.0025136681891259395,1.6285511988719471e-06,1.0697328908529067,0.0006987773274178872,0.0006532259907057232
3T,2,0.0023139722781886705,1.580544216336146e-06,0.9847490075295033,0.0006776236393857019,0.0006881181237092032
3T,3,0.0021676637114235254,1.4691498015571795e-06,0.9224849876563606,0.0006299381982395669,0.0006828709482199491
