,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.0023673228746616225,1.5195900595448233e-06,1.2342901389410754,0.0008001509867784137,0.0006482681514938462
1T,2,0.002135697388531889,1.4169018309797516e-06,1.1135237422161557,0.000745614013966669,0.0006695986674543051
1T,3,0.0018796776760395262,1.3582883910745773e-06,0.9800385256932421,0.0007137408472259501,0.0007282783569360979
1T,4,0.0016097578820456293,1.2310807874517985e-06,0.8393059946145256,0.0006463599438207364,0.0007701123880541268
1T,5,0.0014396199921235858,1.1056383239990415e-06,0.7505983991957819,0.0005804644153104295,0.0007733355359302125
1B,1,0.002253668289736911,1.4166643045919583e-06,1.1750321750530426,0.0007462663071439354,0.0006351028703620375
1B,2,0.0020181208545761147,1.3567724385864499e-06,1.0522209271308978,0.000713801027338836,0.0006783756233447714
1B,3,0.001803788360632315,1.3122974880565309e-06,0.9404708627180349,0.0006895022157412149,0.0007331457497242382
1B,4,0.00161530015963519,1.2944466200702855e-06,0.8421956632141443,0.0006792089814507892,0.0008064740904253355
1B,5,0.0015027079906619163,1.1630775769958464e-06,0.7834916286385636,0.0006105556963433149,0.0007792753285753017
2T,1,0.002177065063249657,1.3482068046450842e-06,1.1350922884932921,0.0007104238569229443,0.0006258732123587523
2T,2,0.001953658178628466,1.3629587086604992e-06,1.0186109594735244,0.0007165989447183467,0.0007035060226415838
2T,3,0.001758148119430424,1.2503269647413282e-06,0.9166746580442477,0.000657175464984559,0.0007169124391271621
2T,4,0.0016123197214684842,1.3110812746413611e-06,0.8406417030516911,0.000687812209073759,0.0008181990098479154
2T,5,0.0015312912340036725,1.310994761945306e-06,0.7983945452509524,0.000687353812100882,0.00086091997520453
2B,1,0.0021175997078240094,1.3904923839569025e-06,1.1040878561887235,0.0007318561511154125,0.0006628604300039644
2B,2,0.0019105004251026082,1.3553291525875116e-06,0.9961090903090026,0.0007123930460325231,0.000715175730211971
2B,3,0.0017523562651021504,1.268432825848714e-06,0.913654863507521,0.000666506901513685,0.0007294952701887504
2B,4,0.001651383032652153,1.176944656256423e-06,0.8610087853388002,0.0006185841598302544,0.0007184411708259707
2B,5,0.001610636003793292,1.195044073299876e-06,0.8397638354209195,0.0006277103626300925,0.0007474843951995882
3T,1,0.0020697522790696405,1.4317015657615742e-06,1.079140853767837,0.0007528490076391936,0.0006976373890494551
3T,2,0.0018806855401089576,1.3989126436604816e-06,0.9805640123919968,0.0007347676370668844,0.0007493316374873738
3T,3,0.0017468305330122097,1.170378990811224e-06,0.9107738215076971,0.0006157766955989566,0.0006761027612537198
