,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70
1T,1,1.3480239486708891,0.0016341639112193824,0.0012122662307525163,1.3469684899749237,0.00171499616022584,0.001273226636695687,1.3553012150283916,0.0015359930335115176,0.0011333222581663078,1.3522225171936382,0.00194594558661075,0.001439072018005814
1T,2,1.0825325878966507,0.001410342716138967,0.0013028177921915935,1.0859596485490388,0.0013433069253398673,0.0012369768316296767,1.090760803887987,0.0013911627241350484,0.0012754058627485393,1.087823980499094,0.0014085907333322488,0.0012948700879769047
1T,3,0.5262711032987408,0.0006717884558581156,0.0012765064462921323,0.5265589130256146,0.0006109788004939256,0.0011603237270892124,0.5291402636888026,0.0006726778429654317,0.0012712656532239367,0.5281276724495847,0.000819267201718484,0.0015512673250362425
1T,4,1.0877959237137282,0.0013408053876125961,0.0012325890899049293,1.0872843653583402,0.001387403052890881,0.0012760259386546313,1.0944992937247775,0.0015268253303940384,0.0013949989179051704,1.089494117837414,0.001647753004146276,0.0015124019278020292
1T,5,1.3554198423772912,0.0018131105653918453,0.0013376745040206905,1.3566276028757458,0.001548338909861176,0.0011413146146953266,1.3642321675993132,0.0018398367018520663,0.0013486243364937592,1.3607310302203526,0.0018223281265411114,0.0013392272874426985
1B,1,1.2825678935821343,0.0016232297450727035,0.0012656092150717428,1.2834211730539322,0.0014955691339789815,0.0011652987852929357,1.2874650202054263,0.0017482032166190851,0.001357864632578634,1.2865441096345842,0.0016334090365563011,0.0012696098208558404
1B,2,1.0328053648396864,0.0012474892901465518,0.001207864843285539,1.0323218946798407,0.0014622325351304113,0.0014164501815433267,1.036521909309872,0.0011406690658512634,0.0011004775254685485,1.0367541673607437,0.0013577998784870015,0.001309664259120888
1B,3,0.5009497517813924,0.0006431075520213918,0.0012837765658820707,0.5017953292130849,0.0006742424095808749,0.0013436601943629515,0.5028348157175813,0.0006260080809146383,0.0012449577104586126,0.5033294805442188,0.0005878571876067612,0.0011679371273288976
1B,4,1.0340904502716521,0.0011677412069679607,0.0011292447451392662,1.0368143044750064,0.0014512359666188116,0.0013997067366404135,1.0395101871942145,0.0012916785619034325,0.0012425838417128516,1.0380838183688896,0.001323632642518148,0.0012750729941999606
1B,5,1.2902410624536935,0.001659194308516474,0.0012859568314785533,1.290753712970873,0.0017653853441079734,0.0013677166498670464,1.2963275458050365,0.0017980958878055515,0.0013870691042740366,1.2975396502106669,0.0017039896961730673,0.0013132467249817065
2T,1,1.2629917242220283,0.0017712387071377375,0.0014024151331860678,1.2645428566982642,0.001842639771397227,0.001457158815643766,1.2637365918615286,0.0018026545875020625,0.0014264480423461414,1.265215027701593,0.0017079407371733085,0.0013499213175455062
2T,2,1.0157706135250917,0.001380889718486112,0.0013594503523722988,1.0154741876294782,0.001392791312798806,0.001371567421177033,1.0168005823181852,0.0014831029944817082,0.00145859770369172,1.0148113432993136,0.0013359970749819419,0.0013164979715721372
2T,3,0.4912431428778185,0.0006974840477003785,0.0014198346741582024,0.4924997251074275,0.0007175015991100796,0.0014568568519577815,0.4934779744196219,0.0006588336689240478,0.00133508221861148,0.4927071449039551,0.0006563213911299548,0.0013320719983833265
